男人=男人，男人，女人，女人，人 PERSON
恐怖分子叛乱分子 [~REB]
恐怖分子叛乱组织 [~REB]
恐怖分子叛乱组织 [~REB]
左上领导人 [~PTY]
右上角引线 [~PTY]
部落叛乱分子 [~REB]
部落叛乱者 [~REB]
地下军 [~REB]
地下力 [~REB]
地下叛军 [~REB]
地下电阻 [~REB]
起义 [~REB]
城市游击队 [~REB]
寻求庇护者 [~REF]
船民 [~REF]
流离失所的家庭 [~REF]
流离失所者 [~REF]
流离失所者 [~REF]
流离失所的居民 [~REF]
移居国外的 [~REF]
土著难民 [~REF]
难民难民 [~REF]
难民 [~REF]
回返者 [~REF]
无国籍人 [~REF]
修道院院长 [~REL]
信徒 [~REL]
牧师 [~REL]
神职人员 [~REL]
牧师 [~REL]
圣人 [~REL]
圣人 [~REL]
主要宗教权威 [~REL]
乞丐 [~REL]
武僧 [~RELUAF]
战斗神父 [~RELUAF]
传教士 [~REL]
修道院 [~REL]
和尚 [~REL]
朝圣者 [~REL]
传道者 [~REL]
神父 [~REL]
宗教 [~REL]
宗教团体 [~REL]
宗教组织 [~REL]
宗教人士 [~REL]
宗教领袖 [~REL]
崇拜者 [~REL]
崇拜者 [~REL]
武装分离主义者 [~REB]
武装分离主义运动 [~REB]
解放军 [~REB]
民族分离主义者？ [~REB]解放阵线 [~REB]
解放军 [~REB]
解放军 [~REB]
解放阵线 [~REB]
解放运动 [~OPP]
人民解放运动 [~REB]
支持独立的积极分子？退货错 [~OPP]反叛分离主义者 [~REB]
分离主义者 [~REB]
分离主义集团 [~REB]
分离主义游击队 [~REB]
分离主义领袖 [~REB]
分离主义激进分子 [~REB]
分裂主义运动 [~REB]
分离主义叛军 [~REB]
沉降器 [~CVL]
中央情报局 [~SPY]
情报局长 [~SPY]
秘密行动 [~SPY]
外国情报局 [~SPY]
智力 [~SPY]
情报活动 [~SPY]
情报员 [~SPY]
智能仪器 [~SPY]
情报局 [~SPY]
情报局长 [~SPY]
情报界 [~SPY]
情报信息 [~SPY]
情报官员 [~SPY]
情报行动 [~SPY]
情报服务 [~SPY]
军种间情报 [~SPY]
穆哈巴拉特 [~SPY]
穆卡巴拉特 [~SPY]
穆卡巴拉特 [~SPY]
国家情报局 [~SPY]
国家安全局 [~SPY]
手术的 [~SPY]
特工 [~SPY]
秘密警察 [~SPY]
高级情报官 [~SPY]
间谍 [~SPY]
间谍机构 [~SPY]
间谍船 [~SPY]
卧底剂 [~SPY]
武装乐队 [~UAF]
武装公民 [~UAF]
武装力量 [~UAF]
武装团伙 [~UAF]
武装集团 [~UAF]
武装人员 [~UAF]
武装专业人员 [~UAF]
攻击者 [~UAF]
战斗人员 [~UAF]
死亡小队 [~UAF]
敌方战斗人员 [~UAF]
战士 [~UAF]
外国恐怖组织 [~UAF]
持枪歹徒 [~UAF]
持枪歹徒 [~UAF]
枪手 [~UAF]
雇佣枪 [~UAF]
雇佣枪 [~UAF]
杀手 [~UAF]
命中人 [~UAF]
命中小队 [~UAF]
渗透单元 [~UAF]
金贾威德 [~UAF]
圣战分子 [~UAFMUS]
圣战分子 [~UAFMUS]
劫掠者 [~UAF]
雇佣军 [~UAF]
好战分子 [~UAF]
军用机翼 [~UAF]
民兵 [~UAF]
民兵 [~UAF]
民兵 [~UAF]
好战分子 [~UAF]
穆斯林武装分子 [~UAFMUS]
穆斯林武装分子 [~UAFMUS]
凶残的极端分子 [~UAFRAD]
私人军队 [~UAF]
私人保安部队 [~UAF]
自卫队 [~UAF]
自感力 [~UAF]
自卫队 [~UAF]
自卫队 [~UAF]
自卫军 [~UAF]
自卫民兵 [~UAF]
幸运战士 [~UAF]
恐怖分子 [~UAF]
恐怖组织 [~UAF]
恐怖组织领导人 [~UAF]
恐怖分子头目 [~UAF]
恐怖组织 [~UAF]
三角洲 [~UAF]
不明枪手 [~REB]
不明部队 [~UAF]
暴力集团 [~UAF]
观察员 [IGO~]
维和部队 [IGO~]
停战监视器 [IGO~]
